Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
131 :                    rioi;}fti(ti,ti){q(iui){r     BrR;Z$              
132 : TNS_NORULECHAIN/NS_NORULE
132 : RESSTATE            
132 :                    {rioi;}fti(ti,ti){q(iui){     W$                  
133 :W->{BrV;Z           {rioi;}fti(ti,ti){q(iui){     W$                  
134 : SAVESTATE:          14
134 :                    {rioi;}fti(ti,ti){q(iui){     {BrV;Z$             
135 :                    rioi;}fti(ti,ti){q(iui){r     BrV;Z$              
136 : TNS_NORULECHAIN/NS_NORULE
136 : RESSTATE            
136 :                    {rioi;}fti(ti,ti){q(iui){     W$                  
137 :W->{rR;Z            {rioi;}fti(ti,ti){q(iui){     W$                  
138 : SAVESTATE:          14
138 :                    {rioi;}fti(ti,ti){q(iui){     {rR;Z$              
139 :                    rioi;}fti(ti,ti){q(iui){r     rR;Z$               
140 :                    ioi;}fti(ti,ti){q(iui){rl     R;Z$                
141 :R->i                ioi;}fti(ti,ti){q(iui){rl     R;Z$                
142 : SAVESTATE:          15
142 :                    ioi;}fti(ti,ti){q(iui){rl     i;Z$                
143 :                    oi;}fti(ti,ti){q(iui){rl;     ;Z$                 
144 : TS_NOK/NS_NORULECHAIN
144 : RESSTATE            
144 :                    ioi;}fti(ti,ti){q(iui){rl     R;Z$                
145 :R->i(A)             ioi;}fti(ti,ti){q(iui){rl     R;Z$                
146 : SAVESTATE:          15
146 :                    ioi;}fti(ti,ti){q(iui){rl     i(A);Z$             
147 :                    oi;}fti(ti,ti){q(iui){rl;     (A);Z$              
148 : TS_NOK/NS_NORULECHAIN
148 : RESSTATE            
148 :                    ioi;}fti(ti,ti){q(iui){rl     R;Z$                
149 : TNS_NORULECHAIN/NS_NORULE
149 : RESSTATE            
149 :                    {rioi;}fti(ti,ti){q(iui){     W$                  
150 :W->{rV;Z            {rioi;}fti(ti,ti){q(iui){     W$                  
151 : SAVESTATE:          14
151 :                    {rioi;}fti(ti,ti){q(iui){     {rV;Z$              
152 :                    rioi;}fti(ti,ti){q(iui){r     rV;Z$               
153 :                    ioi;}fti(ti,ti){q(iui){rl     V;Z$                
154 :V->iT               ioi;}fti(ti,ti){q(iui){rl     V;Z$                
155 : SAVESTATE:          15
155 :                    ioi;}fti(ti,ti){q(iui){rl     iT;Z$               
156 :                    oi;}fti(ti,ti){q(iui){rl;     T;Z$                
157 :T->oRT              oi;}fti(ti,ti){q(iui){rl;     T;Z$                
158 : SAVESTATE:          16
158 :                    oi;}fti(ti,ti){q(iui){rl;     oRT;Z$              
159 :                    i;}fti(ti,ti){q(iui){rl;}     RT;Z$               
160 :R->i                i;}fti(ti,ti){q(iui){rl;}     RT;Z$               
161 : SAVESTATE:          17
161 :                    i;}fti(ti,ti){q(iui){rl;}     iT;Z$               
162 :                    ;}fti(ti,ti){q(iui){rl;}s     T;Z$                
163 : TNS_NORULECHAIN/NS_NORULE
163 : RESSTATE            
163 :                    i;}fti(ti,ti){q(iui){rl;}     RT;Z$               
164 :R->i(A)             i;}fti(ti,ti){q(iui){rl;}     RT;Z$               
165 : SAVESTATE:          17
165 :                    i;}fti(ti,ti){q(iui){rl;}     i(A)T;Z$            
166 :                    ;}fti(ti,ti){q(iui){rl;}s     (A)T;Z$             
167 : TS_NOK/NS_NORULECHAIN
167 : RESSTATE            
167 :                    i;}fti(ti,ti){q(iui){rl;}     RT;Z$               
168 : TNS_NORULECHAIN/NS_NORULE
168 : RESSTATE            
168 :                    oi;}fti(ti,ti){q(iui){rl;     T;Z$                
169 :T->oR               oi;}fti(ti,ti){q(iui){rl;     T;Z$                
170 : SAVESTATE:          16
170 :                    oi;}fti(ti,ti){q(iui){rl;     oR;Z$               
171 :                    i;}fti(ti,ti){q(iui){rl;}     R;Z$                
172 :R->i                i;}fti(ti,ti){q(iui){rl;}     R;Z$                
173 : SAVESTATE:          17
173 :                    i;}fti(ti,ti){q(iui){rl;}     i;Z$                
174 :                    ;}fti(ti,ti){q(iui){rl;}s     ;Z$                 
175 :                    }fti(ti,ti){q(iui){rl;}s{     Z$                  
176 :Z->}M               }fti(ti,ti){q(iui){rl;}s{     Z$                  
177 : SAVESTATE:          18
177 :                    }fti(ti,ti){q(iui){rl;}s{     }M$                 
178 :                    fti(ti,ti){q(iui){rl;}s{r     M$                  
179 :M->ftm()Y           fti(ti,ti){q(iui){rl;}s{r     M$                  
180 : SAVESTATE:          19
180 :                    fti(ti,ti){q(iui){rl;}s{r     ftm()Y$             
181 :                    ti(ti,ti){q(iui){rl;}s{rl     tm()Y$              
182 :                    i(ti,ti){q(iui){rl;}s{rl;     m()Y$               
183 : TS_NOK/NS_NORULECHAIN
183 : RESSTATE            
183 :                    fti(ti,ti){q(iui){rl;}s{r     M$                  
184 : TNS_NORULECHAIN/NS_NORULE
184 : RESSTATE            
184 :                    }fti(ti,ti){q(iui){rl;}s{     Z$                  
185 :Z->}F               }fti(ti,ti){q(iui){rl;}s{     Z$                  
186 : SAVESTATE:          18
186 :                    }fti(ti,ti){q(iui){rl;}s{     }F$                 
187 :                    fti(ti,ti){q(iui){rl;}s{r     F$                  
188 :F->fti(P)W          fti(ti,ti){q(iui){rl;}s{r     F$                  
189 : SAVESTATE:          19
189 :                    fti(ti,ti){q(iui){rl;}s{r     fti(P)W$            
190 :                    ti(ti,ti){q(iui){rl;}s{rl     ti(P)W$             
191 :                    i(ti,ti){q(iui){rl;}s{rl;     i(P)W$              
192 :                    (ti,ti){q(iui){rl;}s{rl;}     (P)W$               
193 :                    ti,ti){q(iui){rl;}s{rl;}r     P)W$                
194 :P->ti,P             ti,ti){q(iui){rl;}s{rl;}r     P)W$                
